"samples" "iterations" "index" "mean" "median" "sd"
100 1000 "simpson" 0.9851214 0.9852 0.00126946980806697
100 1000 "shannon" 4.31381890881522 4.31561185018708 0.0596799383416162
100 2000 "simpson" 0.9851386 0.9852 0.00126156482707249
100 2000 "shannon" 4.31416498905766 4.31561185018708 0.0597873706939074
100 3000 "simpson" 0.985107 0.9852 0.00124433132785625
100 3000 "shannon" 4.31296952264128 4.31618299319274 0.0595756394619854
100 4000 "simpson" 0.98510885 0.9852 0.00124576468882168
100 4000 "shannon" 4.31310110847112 4.31744635088882 0.0599549000213217
100 5000 "simpson" 0.98510484 0.9852 0.00127257080812515
100 5000 "shannon" 4.31325940564008 4.31744635088882 0.0608199063620095
100 6000 "simpson" 0.9851115 0.9852 0.00123818816622885
100 6000 "shannon" 4.3133758792198 4.31561185018708 0.0594663444458874
100 7000 "simpson" 0.985088571428571 0.9852 0.00126132111269068
100 7000 "shannon" 4.31175040157747 4.31221386945117 0.0600621691092326
100 8000 "simpson" 0.985076025 0.9852 0.00126615385817603
100 8000 "shannon" 4.31164155789663 4.31221386945117 0.0600463173195364
100 9000 "simpson" 0.985075311111111 0.9852 0.0012565637924936
100 9000 "shannon" 4.31140475254797 4.31221386945117 0.0598509101925636
100 10000 "simpson" 0.98507086 0.9852 0.00129016483944155
100 10000 "shannon" 4.31141882349844 4.31221386945117 0.0611282560815355
150 1000 "simpson" 0.988418666666667 0.988533333333333 0.000927766845290591
150 1000 "shannon" 4.59797268963518 4.60031994676428 0.0565436294968825
150 2000 "simpson" 0.988435555555556 0.988533333333333 0.000929280714058078
150 2000 "shannon" 4.59896835816394 4.6015429472321 0.0566858283282428
150 3000 "simpson" 0.988407644444444 0.988533333333333 0.000908042772772616
150 3000 "shannon" 4.59775267258743 4.59933731029261 0.0558335859349617
150 4000 "simpson" 0.988419577777778 0.988533333333333 0.000922927992527166
150 4000 "shannon" 4.59811699645225 4.5992776267415 0.0568030913001785
150 5000 "simpson" 0.988412835555556 0.988533333333333 0.000926621720866967
150 5000 "shannon" 4.59791347552792 4.59939699384372 0.0573066248328516
150 6000 "simpson" 0.988414962962963 0.988533333333333 0.000917283141089538
150 6000 "shannon" 4.59816927169128 4.5992776267415 0.0560850241064874
150 7000 "simpson" 0.988402082539683 0.988444444444444 0.000937265993659993
150 7000 "shannon" 4.59732798688558 4.59881615028122 0.0575306069019931
150 8000 "simpson" 0.988409 0.988533333333333 0.000932338095036934
150 8000 "shannon" 4.59752512877292 4.59962773207386 0.0572221330216394
150 9000 "simpson" 0.988414567901235 0.988444444444444 0.00091706776930917
150 9000 "shannon" 4.59791008635586 4.5992776267415 0.0566293446479321
150 10000 "simpson" 0.98841736 0.988533333333333 0.000919099717122264
150 10000 "shannon" 4.59801864403889 4.599858470304 0.0566390775896961
200 1000 "simpson" 0.9900317 0.99005 0.000780457701752137
200 1000 "shannon" 4.77542030380411 4.77522361239647 0.0558748522029934
200 2000 "simpson" 0.9900849 0.99015 0.000742758598178162
200 2000 "shannon" 4.77966197140992 4.78045609383411 0.0531808522191435
200 3000 "simpson" 0.990052633333333 0.99015 0.000753456898560376
200 3000 "shannon" 4.77757474071464 4.78021053006967 0.0533781184867287
200 4000 "simpson" 0.990039425 0.9901 0.000750492491048238
200 4000 "shannon" 4.77694998388088 4.77875710346616 0.0534995750047497
200 5000 "simpson" 0.99008207 0.99015 0.000744732126531458
200 5000 "shannon" 4.77984498771341 4.78045609383411 0.0536838395010761
200 6000 "simpson" 0.990057675 0.9901 0.000760272657314848
200 6000 "shannon" 4.77799736534512 4.77875710346616 0.0542203344052222
200 7000 "simpson" 0.990067614285714 0.99015 0.000739713297195367
200 7000 "shannon" 4.7783565533447 4.77967435381703 0.0533981992475471
200 8000 "simpson" 0.99007036875 0.9901 0.000749712901851676
200 8000 "shannon" 4.7787089563958 4.77967435381703 0.0541822428028211
200 9000 "simpson" 0.990071577777778 0.99015 0.000745108104136008
200 9000 "shannon" 4.77877016717118 4.77967435381703 0.053654400962701
200 10000 "simpson" 0.99006335 0.99015 0.000755121379865416
200 10000 "shannon" 4.77821045915196 4.77953884348325 0.0541613667114483
250 1000 "simpson" 0.991068448 0.991104 0.000637688461452668
250 1000 "shannon" 4.90634770991642 4.90746530567356 0.05209401226627
250 2000 "simpson" 0.99106512 0.991104 0.000625520877176686
250 2000 "shannon" 4.90572971680017 4.90829672809836 0.0503859262920802
250 3000 "simpson" 0.991068213333333 0.991104 0.000661086694033313
250 3000 "shannon" 4.9059377779527 4.90688333167048 0.052628298484244
250 4000 "simpson" 0.99106584 0.991104 0.000638614509326935
250 4000 "shannon" 4.90590026280798 4.90659306245478 0.0517638654332808
250 5000 "simpson" 0.9910681344 0.991136 0.000655665375442038
250 5000 "shannon" 4.9064949953443 4.90784962194173 0.0518380622185463
250 6000 "simpson" 0.991055866666667 0.991104 0.00063125424873288
250 6000 "shannon" 4.90472781960365 4.90471871883409 0.0502954249844805
250 7000 "simpson" 0.991071995428571 0.991136 0.000643295416346437
250 7000 "shannon" 4.90599594136966 4.90726862581368 0.0517041079242029
250 8000 "simpson" 0.991062412 0.991104 0.000642795524655254
250 8000 "shannon" 4.90554165594592 4.90754551168984 0.051379904947068
250 9000 "simpson" 0.991053454222222 0.991104 0.000645516312423986
250 9000 "shannon" 4.90513422706256 4.90653482553298 0.0514526654667543
250 10000 "simpson" 0.9910598176 0.991104 0.000642917297477194
250 10000 "shannon" 4.90538985413713 4.9062135437712 0.051560261741202
300 1000 "simpson" 0.991734111111111 0.991755555555556 0.000560376270709825
300 1000 "shannon" 5.00054511213214 5.00238168387147 0.049518444014554
300 2000 "simpson" 0.9917175 0.991777777777778 0.000576880411959344
300 2000 "shannon" 4.99944804805456 5.00095125634219 0.0497850464384085
300 3000 "simpson" 0.991725977777778 0.991777777777778 0.000563447530256847
300 3000 "shannon" 5.00001224728658 5.00163776846292 0.0484968375904365
300 4000 "simpson" 0.991734405555556 0.991777777777778 0.000569041798037353
300 4000 "shannon" 5.00122239684555 5.00156611723301 0.0490343004125639
300 5000 "simpson" 0.991707991111111 0.991755555555556 0.000569877186527938
300 5000 "shannon" 4.99881851052266 5.00039626970942 0.0491836711003811
300 6000 "simpson" 0.991727844444445 0.991755555555556 0.000573638326455614
300 6000 "shannon" 5.00082130952521 5.00215575852434 0.0496435831732752
300 7000 "simpson" 0.991727984126984 0.991755555555556 0.000562548260381307
300 7000 "shannon" 5.00062482382458 5.00116349628666 0.0487785048453951
300 8000 "simpson" 0.991726525 0.991755555555556 0.000568733109965436
300 8000 "shannon" 5.00029960576327 5.00078020166316 0.0494913882209223
300 9000 "simpson" 0.99172482962963 0.991755555555556 0.000563382827417667
300 9000 "shannon" 5.00030192084345 5.00162244012721 0.0484863096778233
300 10000 "simpson" 0.991736708888889 0.991777777777778 0.000568414321630549
300 10000 "shannon" 5.00123109722822 5.00173482999926 0.0491132104597782
350 1000 "simpson" 0.992207134693878 0.992228571428571 0.000512095588704985
350 1000 "shannon" 5.07538598232049 5.07535530544906 0.0462702746278784
350 2000 "simpson" 0.992187175510204 0.992212244897959 0.000520164462349456
350 2000 "shannon" 5.07345998444532 5.07401665204023 0.0475131854330622
350 3000 "simpson" 0.992198541496599 0.992228571428571 0.000523213348768652
350 3000 "shannon" 5.07476898393093 5.07444190728495 0.0476253606262223
350 4000 "simpson" 0.99220366122449 0.992244897959184 0.000506961748970682
350 4000 "shannon" 5.07423644564947 5.07483816828278 0.0467002853052919
350 5000 "simpson" 0.992196937142857 0.992228571428571 0.000509398535333469
350 5000 "shannon" 5.07439252097081 5.0755053505915 0.0464232460899715
350 6000 "simpson" 0.99220333877551 0.992228571428571 0.000515314543851103
350 6000 "shannon" 5.0750488911437 5.07597355492131 0.0468726983908623
350 7000 "simpson" 0.992195468221574 0.992228571428571 0.000520919835560442
350 7000 "shannon" 5.07412400849228 5.07473928046986 0.047567477128439
350 8000 "simpson" 0.992204748979592 0.992244897959184 0.000515311734767766
350 8000 "shannon" 5.07492459913285 5.07607092798734 0.0471129517778321
350 9000 "simpson" 0.992204010884354 0.992244897959184 0.00051343455604503
350 9000 "shannon" 5.07498260113762 5.07576454155726 0.0470065569845032
350 10000 "simpson" 0.992194323265306 0.992228571428571 0.000518660312504013
350 10000 "shannon" 5.07411925548093 5.07473928046986 0.0472508305438908
400 1000 "simpson" 0.9925504375 0.992575 0.00046336944070831
400 1000 "shannon" 5.13412966388324 5.1342383726913 0.0442194214639208
400 2000 "simpson" 0.9925741375 0.9926 0.000467180817566282
400 2000 "shannon" 5.13567949685996 5.13576430938665 0.0447389845767333
400 3000 "simpson" 0.992548254166667 0.9925875 0.000482532416866555
400 3000 "shannon" 5.13359731543927 5.13473933324114 0.0461097023896472
400 4000 "simpson" 0.99254226875 0.992575 0.000477297479691089
400 4000 "shannon" 5.13292028184858 5.13348566839563 0.0454193671931496
400 5000 "simpson" 0.992549345 0.992575 0.000476071252274751
400 5000 "shannon" 5.13356355612073 5.13429890853368 0.0455053675729333
400 6000 "simpson" 0.992553058333333 0.992575 0.000471548146134527
400 6000 "shannon" 5.13398524866263 5.13479991890997 0.0454257183521456
400 7000 "simpson" 0.992556553571429 0.9925875 0.000463477747043662
400 7000 "shannon" 5.13404286224639 5.13511262666942 0.0448115145383936
400 8000 "simpson" 0.99254584375 0.992575 0.000471854107283976
400 8000 "shannon" 5.13350166818982 5.13450764319094 0.0451845174039372
400 9000 "simpson" 0.992553448611111 0.9925875 0.000477230391463675
400 9000 "shannon" 5.13410951408995 5.134300090907 0.0455892414214184
400 10000 "simpson" 0.99255464 0.9925875 0.000466465109220203
400 10000 "shannon" 5.13460550924773 5.13567165239541 0.0448560144011976
450 1000 "simpson" 0.992814390123457 0.99282962962963 0.000427668595680692
450 1000 "shannon" 5.18185194787547 5.18241832949803 0.0418768237687823
450 2000 "simpson" 0.992842814814815 0.992869135802469 0.000437003685058245
450 2000 "shannon" 5.18396991587404 5.18321656108894 0.0440022883130654
450 3000 "simpson" 0.99284242962963 0.992859259259259 0.00042474053041749
450 3000 "shannon" 5.18398768561688 5.18388813575235 0.0430137184646902
450 4000 "simpson" 0.992831792592593 0.992849382716049 0.000432929503659033
450 4000 "shannon" 5.18345778967213 5.18449924510787 0.043697900006361
450 5000 "simpson" 0.992824531358025 0.992849382716049 0.000441897305615713
450 5000 "shannon" 5.18237723636182 5.18297703810555 0.0439515839277168
450 6000 "simpson" 0.992827527572016 0.992849382716049 0.000436861506249371
450 6000 "shannon" 5.18282627688619 5.1826328895344 0.0435051467564555
450 7000 "simpson" 0.992842502998236 0.992869135802469 0.000437086624587656
450 7000 "shannon" 5.18359875473692 5.18413397959303 0.0436237089694455
450 8000 "simpson" 0.992829091358025 0.992849382716049 0.00044280036494459
450 8000 "shannon" 5.18298887078066 5.18415451152471 0.0441955360531645
