"little_n" "big_n" "statistic" "mean" "median" "sd"
100 101 "simpson" 0.9737576 0.974 0.00278686362221923
100 101 "shannon" 3.81496929033392 3.81776325287288 0.0741592630109554
100 101 "unique" 53.589 54 3.04620392593116
100 102 "simpson" 0.9736094 0.9738 0.00252615381421898
100 102 "shannon" 3.79733520767591 3.80015622118057 0.071260774596577
100 102 "unique" 52.425 52 2.99655708344666
100 104 "simpson" 0.9757248 0.976 0.0021117207022531
100 104 "shannon" 3.87177602124068 3.87286891997247 0.0647873870207561
100 104 "unique" 55.728 56 2.95783109131755
100 108 "simpson" 0.9768844 0.9772 0.00200984479901213
100 108 "shannon" 3.91595182078047 3.91820183888718 0.0652194922628373
100 108 "unique" 57.866 58 3.09380277581094
100 116 "simpson" 0.9769224 0.9772 0.00220533029764744
100 116 "shannon" 3.92278583715334 3.92618607137743 0.0699597570320115
100 116 "unique" 58.436 59 3.18748553942823
100 132 "simpson" 0.9770378 0.9772 0.00211699145317425
100 132 "shannon" 3.93066218367229 3.93241088984359 0.0705615849732424
100 132 "unique" 58.97 59 3.37112213728076
100 164 "simpson" 0.9786042 0.9788 0.00184776529802803
100 164 "shannon" 3.99433874721776 3.99492964642777 0.065958063696515
100 164 "unique" 62.235 62 3.31825041034967
100 228 "simpson" 0.981169 0.9814 0.00174747035816138
100 228 "shannon" 4.11292960661279 4.11290017745674 0.0686952717496696
100 228 "unique" 68.809 69 3.62044563923098
100 356 "simpson" 0.9817896 0.982 0.00180956524236248
100 356 "shannon" 4.15018755764229 4.15196229289818 0.0690124998812816
100 356 "unique" 71.189 71 3.67488554703188
100 612 "simpson" 0.9834946 0.9836 0.00152938872425223
100 612 "shannon" 4.22875493447644 4.23300533152555 0.066939174022316
100 612 "unique" 75.608 76 3.81141218747892
100 1124 "simpson" 0.9838676 0.984 0.00141471964419516
100 1124 "shannon" 4.24679192850487 4.24813163283282 0.0643492781217672
100 1124 "unique" 76.671 77 3.71005707820291
100 2148 "simpson" 0.9847518 0.9849 0.00135609577676348
100 2148 "shannon" 4.29547483382577 4.29835092583997 0.0626272244501522
100 2148 "unique" 79.699 80 3.64220601623036
100 4196 "simpson" 0.9848822 0.985 0.00130099029040794
100 4196 "shannon" 4.29961393171259 4.30232004958154 0.0621531286304693
100 4196 "unique" 79.842 80 3.68518881695587
150 151 "simpson" 0.981713422222222 0.981866666666667 0.00161336947926759
150 151 "shannon" 4.18581539035871 4.18632419288944 0.0592247737489126
150 151 "unique" 78.269 78 3.5882467187353
150 152 "simpson" 0.982905777777778 0.982933333333333 0.00124641279417995
150 152 "shannon" 4.22284259782943 4.22029585469257 0.0538589335999896
150 152 "unique" 79.628 79 3.4640461335865
150 154 "simpson" 0.982432266666667 0.982577777777778 0.00143683195410456
150 154 "shannon" 4.21035775101508 4.2117994506267 0.0584554838370386
150 154 "unique" 79.379 79 3.67489644260404
150 158 "simpson" 0.980950488888889 0.981066666666667 0.00153729948850954
150 158 "shannon" 4.13490814530919 4.13585185608627 0.0592694110650485
150 158 "unique" 74.508 74 3.52453661611826
150 166 "simpson" 0.982622755555556 0.982755555555556 0.00137423193608462
150 166 "shannon" 4.22145373431942 4.22209335882296 0.0580354595159483
150 166 "unique" 80.305 80 3.68096787876837
150 182 "simpson" 0.982814755555556 0.982933333333333 0.00141509850883804
150 182 "shannon" 4.22890881386481 4.22901665708864 0.0611937466175338
150 182 "unique" 80.672 81 3.92680988027633
150 214 "simpson" 0.984064444444444 0.984177777777778 0.00120250729793185
150 214 "shannon" 4.29696742365784 4.29839105869575 0.0581361771453166
150 214 "unique" 85.477 86 4.0410148231355
150 278 "simpson" 0.9836832 0.983911111111111 0.00150383115975362
150 278 "shannon" 4.30257100871524 4.30638099375569 0.0646220281829059
150 278 "unique" 87.388 87 4.23950815890587
150 406 "simpson" 0.986371466666667 0.986488888888889 0.00110854633226277
150 406 "shannon" 4.4496239219284 4.45425239227515 0.0597520420904661
150 406 "unique" 97.8 98 4.49401782330648
150 662 "simpson" 0.986920977777778 0.987022222222222 0.00105609142080082
150 662 "shannon" 4.49469221683159 4.49517003932372 0.0571618693362307
150 662 "unique" 102.004 102 4.33413991107449
150 1174 "simpson" 0.987459733333333 0.987555555555556 0.00104295718444118
150 1174 "shannon" 4.53095168173015 4.53190715072344 0.05918839668667
150 1174 "unique" 105.022 105 4.6011614497523
150 2198 "simpson" 0.987922933333333 0.988 0.000991099673598698
150 2198 "shannon" 4.56400868373022 4.5643443593721 0.0576855792364647
150 2198 "unique" 107.805 108 4.59892651877861
150 4246 "simpson" 0.988332711111111 0.988355555555556 0.000890404451498161
150 4246 "shannon" 4.59075529594009 4.59009534788514 0.0544912409449474
150 4246 "unique" 109.971 110 4.46789896048701
200 201 "simpson" 0.98578665 0.9859 0.000967471073354533
200 201 "shannon" 4.4150250417204 4.41754862546822 0.0512202083952737
200 201 "unique" 97.833 98 4.06098542260405
200 202 "simpson" 0.98581095 0.9859 0.000992288886733464
